type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,705848,禾昌元富96購01,TW19Z7058488,2019/09/11,上櫃,,RWSCCA
上櫃認購(售)權證,705869,穩懋元大96購01,TW19Z7058694,2019/09/11,上櫃,,RWSCCA
上櫃認購(售)權證,707157,同致兆豐96購01,TW19Z7071572,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707158,威剛兆豐96購01,TW19Z7071580,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707159,網龍兆豐96購01,TW19Z7071598,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707161,元太國票96購01,TW19Z7071614,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707162,旺矽國票96購01,TW19Z7071622,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707163,信昌電國票96購01,TW19Z7071630,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707164,宣德國票96購01,TW19Z7071648,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707165,聚積國票96購01,TW19Z7071655,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707166,譜瑞國票96購01,TW19Z7071663,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707167,中美晶國泰96購01,TW19Z7071671,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707169,群聯富邦96購01,TW19Z7071697,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707173,鈺太中信96購01,TW19Z7071739,2019/11/11,上櫃,,RWSCCE
上櫃認購(售)權證,707174,凡甲凱基96購01,TW19Z7071747,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707175,大江凱基96購01,TW19Z7071754,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707189,美琪瑪元大96購01,TW19Z7071895,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707190,神盾元大96購02,TW19Z7071903,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707462,茂達凱基9B購01,TW19Z7074626,2019/11/25,上櫃,,RWSCCA
上櫃認購(售)權證,707463,神盾凱基9B購01,TW19Z7074634,2019/11/25,上櫃,,RWSCCA
上櫃認購(售)權證,707491,櫃200T永昌9C購01,TW19Z7074915,2019/11/27,上櫃,,RWICCE
上櫃認購(售)權證,707492,櫃200T永昌9C購02,TW19Z7074923,2019/11/27,上櫃,,RWICCE
上櫃認購(售)權證,707493,櫃200T永昌9C購03,TW19Z7074931,2019/11/27,上櫃,,RWICCE
上櫃認購(售)權證,707494,櫃200T永昌9C購04,TW19Z7074949,2019/11/27,上櫃,,RWICCE
